,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,6uDBSDI9pDM7C4Gm0hc2hI,0.756,0.211,5.0,-17.646,1.0,0.409,0.784,8.65e-06,0.11,0.307,81.253,87707.0,4.0
1,0BRbI3ZMPXuj9yA7ChDGOW,0.804,0.803,1.0,-4.673,1.0,0.346,0.409,0.786,0.119,0.339,125.0,141374.0,4.0
2,1ts8KebAIm5xCiGInoWiqp,0.925,0.558,2.0,-5.362,1.0,0.0513,0.178,0.0,0.125,0.467,119.992,153297.0,4.0
3,1FqLXcLdKdXBGh9mY9wLu4,0.631,0.714,5.0,-10.218,0.0,0.186,0.613,0.0,0.185,0.601,160.509,131944.0,4.0
4,776AftMmFFAWUIEAb3lHhw,0.625,0.939,4.0,-3.115,0.0,0.0669,0.00138,0.0,0.424,0.644,102.999,194787.0,4.0
5,3nY8AqaMNNHHLYV4380ol0,0.647,0.608,9.0,-6.831,1.0,0.42,0.13,0.0,0.0584,0.474,125.994,175238.0,4.0
6,4eOymg22XI5PrPr7BkPQiW,0.703,0.0828,7.0,-14.178,1.0,0.139,0.825,1.24e-05,0.13,0.57,125.879,158853.0,4.0
7,7K9Z3yFNNLv5kwTjQYGjnu,0.691,0.814,1.0,-3.788,0.0,0.117,0.0164,0.0,0.366,0.509,132.012,145611.0,4.0
8,6uvMKqNlrSvcC4NaKnrwjZ,0.883,0.674,11.0,-8.043,0.0,0.357,0.21,0.0,0.0678,0.73,141.02,278085.0,4.0
9,59IqCFx50pTdpyWa8mL7fh,0.828,0.616,1.0,-8.498,1.0,0.14,0.227,0.00304,0.0618,0.812,125.594,98544.0,4.0
10,1QL7nSDZCwZMnbisV4KOXt,0.39,0.83,11.0,-5.201,0.0,0.0563,0.0021,0.0,0.156,0.191,90.021,168030.0,4.0
11,5jc4Qcs98R4ZDku8ictuE3,0.888,0.408,8.0,-10.162,0.0,0.487,0.164,0.0,0.0912,0.742,77.029,176160.0,4.0
12,3xxmjMvJsSR3L7mUOxP9QA,0.569,0.692,9.0,-4.683,1.0,0.0323,0.0167,3.78e-05,0.126,0.737,141.632,192213.0,4.0
13,6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507.0,4.0
14,5BXr7hYZQOeRttkeWYTq5S,0.764,0.802,0.0,-4.217,1.0,0.0351,0.102,0.0,0.189,0.323,132.02,194080.0,4.0
15,2L95U6syP0bV3fkYYOzmiW,0.922,0.927,11.0,-3.025,1.0,0.105,0.283,0.00331,0.719,0.796,129.978,219000.0,4.0
16,5V2p1V1ZaCJPjpcN2Nf5h2,0.765,0.719,9.0,-4.982,1.0,0.299,0.0132,0.0,0.116,0.782,84.997,192000.0,4.0
17,7xT1n5JKpB0bMPh6FL589e,0.894,0.709,3.0,-7.478,0.0,0.118,0.00914,0.0,0.101,0.462,93.048,201597.0,4.0
18,4TIqzdAssasqx3DAe6cG9J,0.597,0.571,1.0,-6.205,0.0,0.293,0.492,0.0,0.093,0.165,106.196,218448.0,3.0
19,0b18g3G5spr4ZCkz7Y6Q0Q,0.758,0.913,6.0,-2.926,0.0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210.0,4.0
20,6GKGoi0FHzldk1ZRQoV1fv,0.68,0.895,2.0,-7.144,1.0,0.0378,0.0156,0.000374,0.145,0.824,93.037,189375.0,4.0
21,5yorXJWdBan1Vlh116ZtQ7,0.897,0.371,1.0,-5.019,1.0,0.368,0.0904,0.0,0.325,0.441,81.008,156005.0,4.0
22,4WaaWczlVb1UJ24LILsR4C,0.431,0.727,2.0,-5.996,1.0,0.138,0.389,0.0,0.393,0.482,140.01,154749.0,4.0
23,748mdHapucXQri7IAO8yFK,0.762,0.701,8.0,-3.541,1.0,0.0286,0.235,0.000158,0.123,0.742,110.968,208867.0,4.0
24,6KUNUUH9IR3RBoBSWvNqfW,0.936,0.251,1.0,-15.98,1.0,0.494,0.287,0.0,0.122,0.671,140.935,164075.0,4.0
25,07MDkzWARZaLEdKxo6yArG,0.773,0.47,2.0,-7.93,1.0,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680.0,4.0
26,6YNdQ5utvFnK4CTAnBga06,0.561,0.519,2.0,-8.467,1.0,0.0395,0.223,0.0,0.156,0.2,119.882,171000.0,4.0
27,2MnLkFqY9Rpg9s3Zv6ZJdK,0.727,0.546,0.0,-4.572,1.0,0.0437,0.656,0.0,0.122,0.69,106.891,197333.0,4.0
28,0UzymivvUH5s8z4PeWZJaK,0.6,0.713,6.0,-5.079,0.0,0.0592,0.0642,0.0,0.142,0.471,72.999,172107.0,4.0
29,6sfukVkSmXspgO6ZGaXiaE,0.528,0.435,9.0,-11.613,1.0,0.0933,0.758,0.0621,0.0885,0.189,124.865,62421.0,4.0
30,7KhJdiu4zbPlhlImRLIyDl,0.813,0.608,7.0,-9.918,1.0,0.169,0.355,8.56e-06,0.0963,0.0512,149.251,145899.0,4.0
31,7EkWXAI1wn8Ii883ecd9xr,0.345,0.941,9.0,-9.918,1.0,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062.0,4.0
32,2fujhLR4zhDRPbYDhI0xRr,0.815,0.737,11.0,-6.968,1.0,0.188,0.1,0.0,0.123,0.293,99.95,134187.0,4.0
33,1wcr8DjnN59Awev8nnKpQ4,0.599,0.869,5.0,-5.174,0.0,0.0618,0.000707,0.0,0.0911,0.453,132.889,193260.0,4.0
34,52CBUrIdyf8tbZaUY9iawE,0.634,0.928,1.0,-1.609,1.0,0.0514,0.00719,2.55e-06,0.0626,0.738,164.007,205373.0,4.0
35,4Q1p1yb2ri1t920HOxuwqZ,0.687,0.463,1.0,-6.635,1.0,0.0368,0.039,0.0,0.131,0.289,91.031,198187.0,4.0
36,0zCgWGmDF0aih5qexATyBn,0.579,0.601,8.0,-10.492,1.0,0.0322,0.0673,0.414,0.0778,0.0392,140.019,257147.0,4.0
37,5892YX6q8y3Rs9OysF08kv,0.577,0.788,11.0,-6.737,0.0,0.0977,0.014,2.56e-06,0.123,0.644,172.926,93970.0,4.0
38,4bYLspjdlNAV19Ej8bnwzo,0.658,0.654,7.0,-9.999,0.0,0.034,0.0256,0.00664,0.362,0.286,163.086,116530.0,4.0
39,3kxkjirben9RVm9NqYa6rm,0.477,0.483,4.0,-9.413,0.0,0.0364,0.0027,0.783,0.156,0.123,170.026,248347.0,4.0
40,5O5ExR5u69CclV8lb24WmV,0.579,0.55,0.0,-7.251,0.0,0.0968,0.244,2.39e-05,0.127,0.275,160.04,228507.0,4.0
41,7D7e6hm2LiNd6nLuJF6K9Q,0.845,0.398,5.0,-15.781,1.0,0.268,0.872,0.00713,0.159,0.482,109.996,122222.0,4.0
42,106R0orU4XC4tFbugFfRzT,0.642,0.794,8.0,-7.908,1.0,0.0309,6.98e-05,0.348,0.146,0.785,119.55,277867.0,4.0
43,5T4lERmPqhO2ukZoGJ5sSr,0.843,0.713,0.0,-5.487,1.0,0.0851,0.0276,0.76,0.0961,0.298,123.983,147976.0,4.0
44,0nqhKXDjsyBMvbeWmgijD0,0.582,0.537,0.0,-9.229,1.0,0.619,0.129,0.0,0.0749,0.771,82.103,180930.0,4.0
45,3ke6it1vTmHtz2ApcIVUz5,0.83,0.748,1.0,-5.362,1.0,0.162,0.354,0.0,0.0992,0.523,133.028,177443.0,4.0
46,716eVtciaJCtTcaknS3QXr,0.541,0.41,1.0,-6.816,1.0,0.0411,0.0434,1.81e-06,0.0884,0.298,130.152,164203.0,5.0
47,1toNKayLMeCcVlsLGXJl7n,0.51,0.817,9.0,-8.666,1.0,0.0373,0.000654,0.0344,0.146,0.547,169.481,102007.0,4.0
48,1mAey8kEPmDM2icL56kS9d,0.87,0.561,7.0,-10.388,1.0,0.186,0.0124,0.0,0.103,0.691,100.458,156368.0,4.0
49,2vWBUC9djv6BtiGlmKiQaH,0.372,0.537,9.0,-7.623,1.0,0.0305,0.937,0.873,0.287,0.228,123.735,212750.0,3.0
50,7mEDVrAHDnQJStDo8jKJJm,0.527,0.737,4.0,-5.34,1.0,0.0642,0.05,7.85e-05,0.105,0.499,116.431,172675.0,4.0
51,4pt5fDVTg5GhEvEtlz9dKk,0.75,0.608,1.0,-4.008,1.0,0.0387,0.00165,0.0,0.178,0.958,132.507,173347.0,4.0
52,1uAOCTevGnyKIDbgZdOCnE,0.447,0.337,2.0,-8.665,0.0,0.0631,0.773,0.0,0.298,0.603,135.379,176816.0,4.0
53,2aTKrdenCq5qBOoJPFdn4P,0.558,0.454,6.0,-5.335,1.0,0.0551,0.499,0.0,0.146,0.424,113.12,158594.0,4.0
54,6A8B1kJ9ZNHbl2uFPN6Wtm,0.571,0.955,7.0,-3.795,1.0,0.105,0.00254,1.55e-06,0.274,0.437,98.01,177790.0,4.0
55,3MvY2XbGYFi6p2dgmdcOYG,0.534,0.365,9.0,-9.187,0.0,0.033,0.81,2.52e-06,0.158,0.237,123.466,183707.0,4.0
56,3wuvVwA5RaifHz1uqKac8P,0.706,0.675,4.0,-5.756,0.0,0.0386,0.0128,0.000355,0.263,0.463,99.942,160981.0,4.0
57,7HMz8o0m7ASQ3ImFPfhWTY,0.363,0.678,2.0,-4.939,0.0,0.0995,0.0299,0.0,0.324,0.321,162.124,300413.0,4.0
58,3Sbova9DAY3pc9GTAACT4b,0.557,0.367,3.0,-11.719,1.0,0.03,0.739,0.00904,0.0907,0.193,86.866,261674.0,4.0
59,7dMOzsTZOUtOF7W5kLN0gf,0.826,0.799,5.0,-6.12,1.0,0.0594,0.0477,0.00206,0.125,0.628,115.004,180522.0,4.0
60,2CVChktEKBsM6v4IfdFU5k,0.663,0.434,8.0,-11.177,1.0,0.0648,0.828,0.0,0.249,0.225,109.075,171743.0,4.0
61,5Hm2MJQ4ECvQmH5QWCMQrR,0.519,0.246,5.0,-13.85,1.0,0.0396,0.774,2.35e-06,0.0946,0.108,90.121,312320.0,4.0
62,0DGduxy7YSuqXm272C2LM6,0.662,0.663,9.0,-7.782,0.0,0.132,0.00387,0.0,0.835,0.616,113.986,181547.0,4.0
63,3Wrjm47oTz2sjIgck11l5e,0.714,0.8,11.0,-4.808,0.0,0.0504,0.127,0.0,0.359,0.589,134.002,211560.0,4.0
64,4O0LQKVT6hGmVGNwizmydg,0.798,0.621,2.0,-6.916,0.0,0.0391,0.0141,0.000148,0.0926,0.443,123.038,166000.0,4.0
65,559RWsQqSe4fNUffI9P7mW,0.763,0.87,8.0,-4.493,0.0,0.107,0.148,0.0,0.277,0.783,111.988,178500.0,4.0
66,3590AAEoqH50z4UmhMIY85,0.425,0.638,1.0,-3.184,0.0,0.0759,0.426,0.0,0.177,0.45,81.396,230667.0,4.0
67,2wmO5hhuw4Au0IwSUGLqLh,0.827,0.837,5.0,-5.322,0.0,0.214,0.19,9.72e-06,0.0346,0.752,113.889,176997.0,4.0
68,6KE3Fs6LMzi4hJI3eFqyLC,0.63,0.596,4.0,-7.965,0.0,0.0328,0.106,0.01,0.0983,0.275,106.935,205387.0,4.0
69,6Dz383ZHSKzWh5ZTL7aRra,0.89,0.701,4.0,-7.061,0.0,0.194,0.204,0.0,0.0741,0.652,102.001,176878.0,4.0
70,132wAeR05o10R9iSjA1XAE,0.959,0.521,2.0,-7.496,1.0,0.364,0.0852,6.29e-05,0.204,0.408,130.058,174827.0,4.0
71,3ZeyEvTgSlKajHc0fckgZT,0.602,0.898,2.0,-3.789,0.0,0.0364,4.39e-05,0.000109,0.356,0.566,111.036,230707.0,4.0
72,6OufwUcCqo81guU2jAlDVP,0.727,0.681,5.0,-7.114,0.0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970.0,4.0
73,3ydmNkAyYq0AKtG8sTfE9P,0.829,0.425,10.0,-8.992,0.0,0.499,0.375,0.0,0.169,0.716,147.873,221462.0,4.0
74,6shEr6AgLBDlfYlax2UzzL,0.626,0.344,7.0,-7.867,1.0,0.0318,0.808,0.0,0.0773,0.304,119.895,219896.0,4.0
75,4S4RWAA749dKyJQ5CiKEBJ,0.285,0.419,4.0,-7.243,1.0,0.0286,0.338,3.26e-06,0.197,0.244,66.355,175960.0,4.0
76,1aX0Ki80LFzzhqxqRlqbAV,0.605,0.881,10.0,-2.563,1.0,0.153,0.123,0.0,0.038,0.928,193.788,157880.0,4.0
77,5Dmq7XPXXcATuJnSOj8UrT,0.678,0.819,6.0,-4.646,1.0,0.0577,0.00283,2.67e-06,0.112,0.722,125.968,175914.0,4.0
78,0qxLQ6opocOGyFnlXqJ53x,0.601,0.36,9.0,-7.791,0.0,0.0877,0.586,0.0,0.0882,0.335,124.993,276480.0,4.0
79,4hsTQQgfBnBgtBkTGKWS1G,0.935,0.474,2.0,-9.525,1.0,0.222,0.393,0.00157,0.07,0.577,111.046,129987.0,4.0
80,6Pgc3ulraOY7usQgIaIpK6,0.685,0.658,10.0,-8.062,0.0,0.0723,0.00842,8.67e-05,0.39,0.631,91.977,291613.0,4.0
81,1ISMa0THMDKFBq2UMfm02e,0.542,0.647,1.0,-4.973,1.0,0.0277,0.071,0.0,0.108,0.281,92.999,173786.0,4.0
82,5zxZ7M4RgWZUHlMEwac8vt,0.503,0.759,10.0,-5.222,0.0,0.0423,0.00237,1.06e-06,0.13,0.396,90.015,184000.0,4.0
83,4AIatGjGyVipeEAzCMTqOg,0.614,0.867,2.0,-3.484,1.0,0.114,0.0231,0.0,0.0821,0.775,148.885,161040.0,4.0
84,5D2L026JQTKC2gcq3qkYpj,0.587,0.715,2.0,-6.414,0.0,0.0271,0.434,1.85e-05,0.32,0.589,107.964,183093.0,4.0
85,76TRCnbYfo9GU5DPsZ1uI9,0.752,0.664,1.0,-7.392,0.0,0.0775,0.28,0.0,0.102,0.468,107.02,179439.0,4.0
86,6Vfo6O3hk38vDcSpazNo3p,0.635,0.641,4.0,-3.674,0.0,0.0329,0.18,0.0,0.0959,0.218,122.83,253587.0,4.0
87,5Z8Dj3LtbyCMiwE86rhg2f,0.761,0.781,5.0,-6.778,0.0,0.141,0.0681,0.108,0.0607,0.473,123.023,285375.0,4.0
88,4ajjeZhSAVz2Zp9rf9OTIL,0.694,0.76,11.0,-7.216,0.0,0.0464,0.00495,0.00566,0.134,0.511,119.987,178500.0,4.0
89,4K215Fh7PF53yfeSPGtq2L,0.56,0.832,9.0,-4.288,0.0,0.159,0.0316,4.3e-06,0.0966,0.128,87.044,234483.0,4.0
90,0x4GMUtMeZAbti9fhDQnhj,0.533,0.91,2.0,-4.526,0.0,0.0435,0.0213,0.0,0.0699,0.393,146.869,180000.0,4.0
91,6R6i1KOZjiPYLZ8dC0cUgd,0.413,0.193,7.0,-7.94,1.0,0.0296,0.796,1.09e-06,0.095,0.312,94.112,188171.0,4.0
